Page_likes,Type,Month,Weekday,Hour,Paid,Reach,Impressions,Engaged_Users,Fans_Impressions,Fans_Reach,Engaged_Fans,Total_Interactions
104070,Photo,3,3,10,0,1874,2474,25,1483,1062,15,0
102112,Photo,3,3,10,0,4122,7073,466,5827,3302,361,39
102112,Photo,3,3,4,0,5080,8238,523,6630,3892,403,53
102112,Photo,3,2,12,0,4068,7333,538,5914,3198,402,74
102112,Photo,3,2,3,0,3272,6079,463,5079,2644,357,39
102112,Photo,3,1,19,0,238,570,143,567,236,99,2
102112,Photo,3,1,18,0,3358,5900,541,4650,2800,344,120
102112,Photo,3,1,18,0,6400,11941,735,10987,5916,628,38
102112,Link,3,1,3,0,6876,10885,282,9403,5752,259,85
100732,Photo,3,7,18,0,391,746,131,723,380,93,7
100732,Photo,3,7,17,0,10844,22468,1409,18310,8848,1086,230
100732,Photo,3,7,15,0,5132,9067,398,9065,5132,393,2
100732,Photo,3,7,15,0,3772,6971,144,6932,3758,140,3
100732,Link,3,7,14,0,2933,5144,24,3972,2012,19,6
100732,Photo,3,7,12,0,4094,7469,206,7451,4088,200,4
100732,Photo,3,6,17,0,452,726,186,721,450,114,5
100732,Photo,3,6,17,0,11420,23855,1411,16634,8032,865,237
100732,Photo,3,6,15,0,5704,10510,452,9348,5388,361,17
100732,Photo,3,6,15,0,7192,12811,587,11519,6616,472,110
100732,Photo,3,6,13,1,9604,16557,1061,13618,7984,705,143
100732,Photo,3,6,10,0,122944,457509,1373,72846,13184,475,149
98195,Link,3,6,6,0,5730,10083,103,8964,4830,92,49
98195,Photo,3,6,3,0,4898,7960,560,6380,3730,363,86
98195,Photo,3,5,10,0,4118,7355,546,6423,3466,379,36
98195,Photo,3,5,4,1,1845,2670,9,1614,1008,9,0
98195,Photo,3,4,13,0,34480,191207,1591,184270,30720,1292,771
96749,Photo,3,2,9,0,5338,9940,589,8146,3920,363,73
96749,Photo,3,2,5,0,5312,9411,603,7034,3588,345,68
96749,Photo,3,1,13,1,4412,8070,711,6937,3478,346,63
96749,Photo,3,1,2,1,98816,125026,11452,16682,10336,1356,228
96749,Photo,3,7,10,1,7220,12735,2348,9837,5296,642,118
96749,Photo,3,7,5,1,14320,21958,1850,9579,4664,413,67
93684,Photo,2,6,13,1,27056,162816,2299,160270,25424,1146,266
93577,Photo,2,6,6,0,20528,33000,1876,14636,7632,656,172
93470,Photo,2,5,12,0,6416,11459,1362,9122,4716,497,125
93363,Photo,2,5,6,0,5786,10634,1237,9103,4764,483,68
93256,Photo,2,4,12,0,5878,10508,1132,8471,4528,446,128
93149,Photo,2,4,3,0,9528,16535,1383,11276,6260,630,282
93042,Photo,2,3,13,0,8500,14157,1095,9670,5640,465,217
92935,Photo,2,3,9,1,3796,6737,949,5249,2694,398,29
92828,Photo,2,3,6,0,28128,42940,2283,9183,4560,621,178
92721,Photo,2,2,13,0,7228,12627,1239,9781,5348,606,165
92614,Photo,2,2,3,1,5290,9100,1053,6285,3578,441,163
92507,Photo,2,1,13,0,55520,665792,4544,648611,47488,3430,1873
92400,Photo,2,1,4,0,5880,10115,1291,8536,4884,706,95
92293,Photo,2,7,13,1,10040,17029,1429,11744,6964,742,311
92186,Photo,2,7,2,1,153536,497910,1713,8907,5696,593,176
92079,Photo,2,6,13,0,158208,453213,2482,81938,20608,1034,313
91972,Photo,2,6,3,0,6484,10832,1166,7316,4280,583,170
91865,Photo,2,5,13,1,4840,7466,949,5362,3370,447,71
91758,Photo,2,5,3,1,15880,51571,1188,47976,13560,677,238
91651,Photo,2,4,12,0,15288,31467,1573,28247,13312,1052,305
91544,Photo,2,4,3,0,9528,16779,1245,11885,6672,729,264
91437,Link,2,3,13,0,9356,14986,448,13919,8460,392,131
91330,Photo,2,3,3,0,7732,13264,1066,8753,4880,570,224
91223,Photo,2,2,13,0,5240,8893,857,7420,4232,466,61
91116,Photo,2,2,4,1,7132,12060,1004,8294,4736,576,182
91009,Photo,2,1,12,0,21928,39641,1512,6338,3672,497,86
86909,Photo,1,6,16,1,5754,9238,1179,6101,3546,420,84
86909,Photo,1,6,10,1,37088,10966,2728,66311,34352,2021,633
86909,Link,1,6,4,0,39600,7927,572,12522,8176,167,107
86909,Photo,1,5,13,0,5536,8745,1141,5225,3098,483,106
86909,Photo,1,5,4,0,6056,10325,1117,6823,3788,487,127
86909,Photo,1,4,11,0,11484,20696,1762,8774,5124,722,515
86491,Link,1,4,4,1,4938,7910,66,6625,3804,59,7
86491,Photo,1,3,10,0,66784,9456,2969,17809,11328,801,226
86491,Photo,1,3,3,0,5526,8779,1096,5732,3412,453,97
86491,Photo,1,2,7,0,5040,8367,1062,5485,3068,437,108
86491,Link,1,2,2,0,5168,8371,66,7041,3996,58,14
85979,Photo,1,1,12,0,5034,8030,1020,5340,3094,440,83
85979,Photo,1,1,2,0,4908,7491,957,4642,2842,393,66
85979,Photo,1,7,10,0,9700,17442,1407,8872,4876,660,378
85979,Photo,1,7,2,0,4800,7754,975,4932,2820,432,103
85979,Photo,1,6,11,0,5280,8703,951,5757,3300,431,110
85979,Photo,1,6,3,1,6184,10228,956,6085,3502,437,152
85979,Link,1,5,11,0,45920,5808,753,15766,10720,220,137
85093,Photo,1,1,2,0,8412,13960,1179,8632,5348,699,257
85093,Photo,1,7,10,0,5400,9218,810,5654,3230,422,176
85093,Photo,1,7,2,0,4684,7536,733,4750,2876,392,84
81370,Photo,1,5,8,0,3480,6229,537,3961,2104,301,75
81370,Photo,1,5,2,0,3778,7216,625,4742,2388,363,115
81370,Photo,1,4,11,0,4156,7564,626,4534,2452,370,136
81370,Photo,1,4,4,,4188,7292,564,3861,2200,316,119
